iter	RMSE
0	219217.7468
1	216695.2243
2	214224.3686
3	211472.1776
4	208906.4488
5	206837.8464
6	205197.0979
7	203437.4309
8	201509.9162
9	200025.3492
10	198252.5101
11	197210.6314
12	195737.4309
13	194141.3363
14	192630.7878
15	191308.6289
16	189794.6527
17	188800.269
18	187728.7158
19	186979.8986
20	185997.204
21	185019.1737
22	184200.0146
23	183402.007
24	182560.3916
25	181715.6654
26	181167.276
27	180171.7426
28	179492.6724
29	178744.6923
30	177971.5182
31	177121.4039
32	176586.6439
33	175587.6425
34	174856.8725
35	174299.4888
36	173710.3783
37	173087.5944
38	172746.5158
39	172317.255
40	171753.982
41	171325.8512
42	170903.6944
43	170527.3245
44	170014.018
45	169650.4425
46	169454.461
47	168987.6346
48	168721.5654
49	168366.2359
50	168083.9822
51	167697.5266
52	167399.6631
53	167234.1926
54	167014.276
55	166814.0698
56	166500.4757
57	166289.8297
58	166095.2564
59	165926.2435
60	165785.2754
61	165421.2751
62	165285.6704
63	164847.389
64	164741.9171
65	164632.2311
66	164396.3127
67	164267.4433
68	164005.9538
69	163676.9444
70	163556.9981
71	163342.2929
72	163184.5403
73	163086.6911
74	162845.0558
75	162674.5804
76	162338.6018
77	162186.9511
78	162106.1161
79	161948.874
80	161816.7747
81	161629.4688
82	161481.4448
83	161289.0139
84	161140.239
85	160981.5882
86	160902.5829
87	160678.9987
88	160475.7567
89	160411.4889
90	160310.3927
91	160196.6905
92	160036.8829
93	159767.7803
94	159565.1905
95	159418.577
96	159146.2957
97	158889.8095
98	158710.7281
99	158624.4932
100	158452.8912
101	158246.5939
102	158171.9286
103	157934.4077
104	157778.6943
105	157663.2692
106	157579.1234
107	157446.9133
108	157293.2658
109	157213.6372
110	157106.1017
111	157015.6609
112	156860.7316
113	156617.7045
114	156543.8017
115	156449.5003
116	156233.9311
117	156072.5356
118	155935.638
119	155794.1081
120	155735.1053
121	155639.0189
122	155552.6528
123	155507.0791
124	155193.7299
125	155070.7585
126	154910.6975
127	154769.028
128	154614.0233
129	154347.9471
130	154209.7038
131	154045.6741
132	153942.1629
133	153811.039
134	153613.9086
135	153483.6067
136	153356.1851
137	153139.9866
138	153051.8576
139	152904.7657
140	152802.7143
141	152629.1427
142	152510.5207
143	152387.409
144	152324.4371
145	152222.6986
146	152108.4262
147	151988.5487
148	151799.8935
149	151597.1088
150	151533.9307
151	151337.9911
152	151218.9141
153	151103.411
154	150997.744
155	150902.8801
156	150783.4918
157	150622.4186
158	150520.1439
159	150375.684
160	150294.373
161	150128.7
162	149931.4247
163	149885.8667
164	149708.8694
165	149611.2455
166	149496.0118
167	149296.8913
168	149110.9854
169	148950.3068
170	148877.5074
171	148724.868
172	148672.3274
173	148586.5003
174	148419.2534
175	148309.3344
176	148248.0715
177	148220.6239
178	148062.4479
179	147929.9788
180	147815.388
181	147745.463
182	147682.2258
183	147666.6718
184	147575.5758
185	147387.3279
186	147339.5277
187	147164.3924
188	147016.4085
189	146888.4002
190	146853.1205
191	146613.7257
192	146433.8772
193	146260.5413
194	146153.6234
195	146056.9795
196	145871.0823
197	145779.6377
198	145687.7545
199	145553.2198
200	145463.0556
201	145381.4799
202	145203.9568
203	145056.8095
204	144998.8461
205	144856.3797
206	144748.2783
207	144542.9956
208	144387.623
209	144267.0091
210	144165.8698
211	144079.0956
212	143807.7195
213	143654.328
214	143594.4308
215	143497.4195
216	143409.7412
217	143310.8359
218	143245.7946
219	143097.7626
220	143048.6836
221	142940.7055
222	142814.3481
223	142628.0707
224	142537.7906
225	142342.5762
226	142198.6394
227	142050.1871
228	141957.7923
229	141843.9908
230	141664.4586
231	141604.3072
232	141488.7837
233	141372.2233
234	141254.6211
235	141135.3401
236	140974.7741
237	140848.9663
238	140777.4454
239	140627.8808
240	140506.8088
241	140446.6347
242	140342.3312
243	140334.2453
244	140144.2839
245	140053.5868
246	139894.8335
247	139736.1316
248	139599.2645
249	139532.1278
250	139455.2778
251	139371.4852
252	139278.2643
253	139158.0172
254	139057.7352
255	138921.8883
256	138848.0305
257	138738.8989
258	138551.1765
259	138431.3189
260	138284.4768
261	138173.0461
262	138054.1787
263	137971.6592
264	137844.673
265	137709.0682
266	137638.7654
267	137591.0133
268	137416.1533
269	137241.6802
270	137080.1177
271	136930.8297
272	136714.3431
273	136588.607
274	136510.269
275	136305.7107
276	136221.5214
277	136126.5895
278	136025.2583
279	135939.8504
280	135796.3721
281	135679.0805
282	135507.9018
283	135432.6072
284	135417.5983
285	135302.1381
286	135068.8055
287	134900.9416
288	134894.2276
289	134777.1039
290	134573.4104
291	134413.3131
292	134302.8686
293	134267.8438
294	134054.169
295	133869.8908
296	133851.132
297	133802.8441
298	133662.164
299	133509.7384
