iter	Passed	Remaining
0	0	133
1	0	130
2	1	130
3	1	127
4	2	127
5	2	123
6	2	122
7	3	120
8	3	120
9	4	118
10	4	116
11	4	115
12	5	114
13	5	114
14	5	113
15	6	112
16	6	111
17	7	110
18	7	109
19	7	108
20	8	107
21	8	106
22	8	107
23	9	107
24	9	106
25	10	105
26	10	105
27	10	104
28	11	104
29	11	103
30	11	103
31	12	103
32	12	102
33	13	102
34	13	102
35	13	102
36	14	101
37	14	101
38	15	101
39	15	100
40	15	100
41	16	100
42	16	100
43	17	99
44	17	99
45	17	98
46	18	98
47	18	98
48	19	97
49	19	97
50	19	96
51	20	96
52	20	96
53	20	95
54	21	95
55	21	94
56	22	94
57	22	94
58	22	93
59	23	93
60	23	93
61	24	92
62	24	92
63	24	91
64	25	91
65	25	90
66	26	90
67	26	91
68	27	90
69	27	90
70	28	90
71	28	90
72	28	89
73	29	89
74	29	88
75	29	88
76	30	88
77	30	87
78	31	87
79	31	87
80	32	86
81	32	86
82	32	86
83	33	85
84	33	85
85	34	84
86	34	84
87	34	83
88	35	83
89	35	83
90	36	82
91	36	82
92	36	82
93	37	81
94	37	81
95	38	80
96	38	80
97	38	79
98	39	79
99	39	78
100	39	78
101	40	78
102	40	77
103	40	77
104	41	76
105	41	76
106	42	76
107	42	75
108	42	75
109	43	74
110	43	74
111	44	74
112	44	73
113	45	73
114	45	73
115	45	72
116	46	72
117	46	71
118	47	71
119	47	71
120	47	70
121	48	70
122	48	70
123	49	69
124	49	69
125	49	68
126	50	68
127	50	67
128	50	67
129	51	67
130	51	66
131	52	66
132	52	65
133	52	65
134	53	65
135	53	64
136	54	64
137	54	63
138	54	63
139	55	63
140	55	62
141	56	62
142	56	61
143	56	61
144	57	61
145	57	60
146	57	60
147	58	59
148	58	59
149	59	59
150	59	58
151	59	58
152	60	57
153	60	57
154	61	57
155	61	56
156	61	56
157	62	56
158	62	55
159	63	55
160	63	54
161	63	54
162	64	53
163	64	53
164	65	53
165	65	52
166	65	52
167	66	52
168	66	51
169	66	51
170	67	50
171	67	50
172	68	49
173	68	49
174	68	49
175	69	48
176	69	48
177	70	48
178	70	47
179	71	47
180	71	46
181	71	46
182	72	46
183	72	45
184	73	45
185	73	45
186	74	44
187	74	44
188	75	44
189	75	43
190	75	43
191	76	42
192	76	42
193	77	42
194	77	41
195	78	41
196	78	41
197	78	40
198	79	40
199	79	39
200	80	39
201	80	39
202	80	38
203	81	38
204	81	37
205	82	37
206	82	37
207	82	36
208	83	36
209	83	35
210	84	35
211	84	35
212	85	34
213	85	34
214	86	34
215	86	33
216	86	33
217	87	32
218	87	32
219	88	32
220	88	31
221	88	31
222	89	30
223	89	30
224	90	30
225	90	29
226	91	29
227	91	28
228	91	28
229	92	28
230	92	27
231	92	27
232	93	26
233	93	26
234	93	25
235	94	25
236	94	25
237	94	24
238	95	24
239	95	23
240	96	23
241	96	23
242	96	22
243	97	22
244	97	21
245	97	21
246	98	21
247	98	20
248	99	20
249	99	19
250	99	19
251	100	19
252	100	18
253	100	18
254	101	17
255	101	17
256	102	17
257	102	16
258	102	16
259	103	15
260	103	15
261	103	15
262	104	14
263	104	14
264	105	13
265	105	13
266	105	13
267	106	12
268	106	12
269	107	11
270	107	11
271	107	11
272	108	10
273	108	10
274	109	9
275	109	9
276	109	9
277	110	8
278	110	8
279	110	7
280	111	7
281	111	7
282	111	6
283	112	6
284	112	5
285	113	5
286	113	5
287	113	4
288	114	4
289	114	3
290	114	3
291	115	3
292	115	2
293	115	2
294	116	1
295	116	1
296	117	1
297	117	0
298	117	0
299	118	0
